# IDN Reference table for Hebrew language

# Language: Hebrew (he)
# Version: 1.0
# Date: 2014-10-09
# Unicode version: 6.3.0

# This IDN table is published on <https://github.com/dotse/IDN-ref-tables> where 
# you can find the latest version, other tables and information concerning the 
# purpose, creation and update of the tables.
#
# This IDN table has been created by .SE <https://www.iis.se/english/> mainly based 
# on the material in the listed references. Anyone is free to use the tables.


## Language references
#
# Wikipedia: "Hebrew orthography", http://en.wikipedia.org/wiki/Hebrew_alphabet
#
# In "Omniglot" - the online encyclopedia of writing systems and languages,
#    http://www.omniglot.com/writing/hebrew.htm


## References for contextual rules
#
# RFC 5891: "Internationalized Domain Names in Applications (IDNA): Protocol" 
#    (proposed standard), http://tools.ietf.org/html/rfc5891
#
# RFC 5893: "Right-to-Left Scripts for Internationalized Domain Names for Applications
#    (IDNA)" (proposed standard), http://tools.ietf.org/html/rfc5893


## Code points requiring contextual rules
#
# Code point                        Description of rule/Reference
#
# U+002D                            Label must neither start nor end with U+002D. Label 
#    HYPHEN-MINUS                   must not have U+002D in both third and fourth
#                                   position. RFC 5891 (sec 4.2.3.1)
#
# 0030..0039                        Must not be in initial position. RFC 5893 (sec 2,
#    DIGITS                         rule 1)


## Code point table
#
# Code   # Unicode        Specimen  Name
# point  # script         Glyph 
#
U+002D   # Common         -         HYPHEN-MINUS
U+0030   # Common         0         DIGIT ZERO
U+0031   # Common         1         DIGIT ONE
U+0032   # Common         2         DIGIT TWO
U+0033   # Common         3         DIGIT THREE
U+0034   # Common         4         DIGIT FOUR
U+0035   # Common         5         DIGIT FIVE
U+0036   # Common         6         DIGIT SIX
U+0037   # Common         7         DIGIT SEVEN
U+0038   # Common         8         DIGIT EIGHT
U+0039   # Common         9         DIGIT NINE
#
U+05D0   # Hebrew         א         HEBREW LETTER ALEF
U+05D1   # Hebrew         ב         HEBREW LETTER BET
U+05D2   # Hebrew         ג         HEBREW LETTER GIMEL
U+05D3   # Hebrew         ד         HEBREW LETTER DALET
U+05D4   # Hebrew         ה         HEBREW LETTER HE
U+05D5   # Hebrew         ו         HEBREW LETTER VAV
U+05D6   # Hebrew         ז         HEBREW LETTER ZAYIN
U+05D7   # Hebrew         ח         HEBREW LETTER HET
U+05D8   # Hebrew         ט         HEBREW LETTER TET
U+05D9   # Hebrew         י         HEBREW LETTER YOD
U+05DA   # Hebrew         ך         HEBREW LETTER FINAL KAF
U+05DB   # Hebrew         כ         HEBREW LETTER KAF
U+05DC   # Hebrew         ל         HEBREW LETTER LAMED
U+05DD   # Hebrew         ם         HEBREW LETTER FINAL MEM
U+05DE   # Hebrew         מ         HEBREW LETTER MEM
U+05DF   # Hebrew         ן         HEBREW LETTER FINAL NUN
U+05E0   # Hebrew         נ         HEBREW LETTER NUN
U+05E1   # Hebrew         ס         HEBREW LETTER SAMEKH
U+05E2   # Hebrew         ע         HEBREW LETTER AYIN
U+05E3   # Hebrew         ף         HEBREW LETTER FINAL PE
U+05E4   # Hebrew         פ         HEBREW LETTER PE
U+05E5   # Hebrew         ץ         HEBREW LETTER FINAL TSADI
U+05E6   # Hebrew         צ         HEBREW LETTER TSADI
U+05E7   # Hebrew         ק         HEBREW LETTER QOF
U+05E8   # Hebrew         ר         HEBREW LETTER RESH
U+05E9   # Hebrew         ש         HEBREW LETTER SHIN
U+05EA   # Hebrew         ת         HEBREW LETTER TAV
