# IDN Reference table for Arabic script

# Script: arab
# Version: 1.0
# Date: 2015-01-20
# Unicode version: 6.3.0

# This IDN table is published on <https://github.com/dotse/IDN-ref-tables> where 
# you can find the latest version, other tables and information concerning the 
# purpose, creation and update of the tables.
#
# This IDN table has been created by .SE <https://www.iis.se/english/> mainly based 
# on the material in the listed references. 
#
# .SE has put this work into Public Domain in accordance with CC0 1.0 Universal.
# See <http://creativecommons.org/publicdomain/zero/1.0/> for the conditions. You 
# can copy, modify, distribute and perform the work, even for commercial purposes, 
# all without asking permission.


## Script references
#
# "Maximal Starting Repertoire - MSR-1. Annotated Repertoire Tables, Non-CJK", pp. 32-40, 
#    https://www.icann.org/en/system/files/files/msr-non-cjk-06jun14-en.pdf,
#    Linked from https://www.icann.org/news/announcement-2-2014-06-20-en
#
# "Arabic script", http://en.wikipedia.org/wiki/Arabic_script
#
# Daniels, Peter T. & Bright, William: "The world's writing systems", pp. 559-564


## References for contextual rules
#
# RFC 5891: “Internationalized Domain Names in Applications (IDNA): Protocol” 
#    (proposed standard), http://tools.ietf.org/html/rfc5891
#
# RFC 5893: "Right-to-Left Scripts for Internationalized Domain Names for Applications 
#    (IDNA)"  (proposed standard), http://tools.ietf.org/html/rfc5893
#
# UAX#24 (Unicode Standard Annex #24), "Unicode Script Property",
#    http://www.unicode.org/reports/tr24
#
# Unicode Character Database "ScriptExtensions.txt", 
#    http://www.unicode.org/Public/7.0.0/ucd/ScriptExtensions.txt  


## Code points requiring contextual rules
#
# Code point                        Description of rule/Reference
#
# U+002D                            Label must neither start nor end with U+002D. Label 
#    HYPHEN-MINUS                   must not have U+002D in both third and fourth
#                                   position. RFC 5891 (sec 4.2.3.1).
#
# 0660..0669                        Must not be in initial position. Must not be combined 
#    ARABIC-INDIC DIGITS            with (EUROPEAN) DIGITS. Must not be combined with
#                                   EXTENDED ARABIC-INDIC DIGITS. RFC 5893 (sec 2, rules 1
#                                   and 4). RFC 5892 (App A.8),
#
# 0030..0039                        Must not be in initial position. Must not be combined 
#    (EUROPEAN) DIGITS              with ARABIC-INDIC DIGITS. RFC 5893 (sec 2, rules 1
#                                   and 4).
#
# 06F0..06F9                        Must not be in initial position. Must not be combined
#    EXTENDED ARABIC-INDIC DIGITS   with ARABIC-INDIC DIGITS. RFC 5893 (sec 2, rules 1).
#                                   RFC 5892 (App A.9). 
#
# 064B..0652, 0654..065F, U+0670,   Not in initial position. RFC 5891 (4.2.3.2).
#    08EA..08EF, 08F4..08FE         
#    Combining marks                 
#
# 064B..0652, U+0654, U+0655,       With Arabic code points. UAX #24
#    U+0670                         (sec 2.3) + Unicode Character Database 
#    Inherited code points          (ScriptExtensions.txt)

# The restrictions stated above for combining marks may not be complete. Other
# restrictions may apply. Suggestions requested.


## Code point table
#
# Code   # Unicode        Specimen  Name
# point  # script         Glyph 
#
U+002D   # Common         -         HYPHEN-MINUS
U+0030   # Common         0         DIGIT ZERO
U+0031   # Common         1         DIGIT ONE
U+0032   # Common         2         DIGIT TWO
U+0033   # Common         3         DIGIT THREE
U+0034   # Common         4         DIGIT FOUR
U+0035   # Common         5         DIGIT FIVE
U+0036   # Common         6         DIGIT SIX
U+0037   # Common         7         DIGIT SEVEN
U+0038   # Common         8         DIGIT EIGHT
U+0039   # Common         9         DIGIT NINE
#
U+0620   # Arabic         ؠ         ARABIC LETTER KASHMIRI YEH
U+0621   # Arabic         ء         ARABIC LETTER HAMZA
U+0622   # Arabic         آ         ARABIC LETTER ALEF WITH MADDA ABOVE
U+0623   # Arabic         أ         ARABIC LETTER ALEF WITH HAMZA ABOVE
U+0624   # Arabic         ؤ         ARABIC LETTER WAW WITH HAMZA ABOVE
U+0625   # Arabic         إ         ARABIC LETTER ALEF WITH HAMZA BELOW
U+0626   # Arabic         ئ         ARABIC LETTER YEH WITH HAMZA ABOVE
U+0627   # Arabic         ا         ARABIC LETTER ALEF
U+0628   # Arabic         ب         ARABIC LETTER BEH
U+0629   # Arabic         ة         ARABIC LETTER TEH MARBUTA
U+062A   # Arabic         ت         ARABIC LETTER TEH
U+062B   # Arabic         ث         ARABIC LETTER THEH
U+062C   # Arabic         ج         ARABIC LETTER JEEM
U+062D   # Arabic         ح         ARABIC LETTER HAH
U+062E   # Arabic         خ         ARABIC LETTER KHAH
U+062F   # Arabic         د         ARABIC LETTER DAL
U+0630   # Arabic         ذ         ARABIC LETTER THAL
U+0631   # Arabic         ر         ARABIC LETTER REH
U+0632   # Arabic         ز         ARABIC LETTER ZAIN
U+0633   # Arabic         س         ARABIC LETTER SEEN
U+0634   # Arabic         ش         ARABIC LETTER SHEEN
U+0635   # Arabic         ص         ARABIC LETTER SAD
U+0636   # Arabic         ض         ARABIC LETTER DAD
U+0637   # Arabic         ط         ARABIC LETTER TAH
U+0638   # Arabic         ظ         ARABIC LETTER ZAH
U+0639   # Arabic         ع         ARABIC LETTER AIN
U+063A   # Arabic         غ         ARABIC LETTER GHAIN
U+0641   # Arabic         ف         ARABIC LETTER FEH
U+0642   # Arabic         ق         ARABIC LETTER QAF
U+0643   # Arabic         ك         ARABIC LETTER KAF
U+0644   # Arabic         ل         ARABIC LETTER LAM
U+0645   # Arabic         م         ARABIC LETTER MEEM
U+0646   # Arabic         ن         ARABIC LETTER NOON
U+0647   # Arabic         ه         ARABIC LETTER HEH
U+0648   # Arabic         و         ARABIC LETTER WAW
U+0649   # Arabic         ى         ARABIC LETTER ALEF MAKSURA
U+064A   # Arabic         ي         ARABIC LETTER YEH
#
U+064B   # Inherited      ً         ARABIC FATHATAN
U+064C   # Inherited      ٌ         ARABIC DAMMATAN
U+064D   # Inherited      ٍ         ARABIC KASRATAN
