# IDN Reference table for Devanagari script

# Script: Devanagari (deva)
# Version: 1.1
# Date: 2014-11-28
# Unicode version: 6.3.0

# This IDN table is published on <https://github.com/dotse/IDN-ref-tables> where 
# you can find the latest version, other tables and information concerning the 
# purpose, creation and update of the tables.
#
# This IDN table has been created by .SE <https://www.iis.se/english/> mainly based 
# on the material in the listed references. 
#
# .SE has put this work into Public Domain in accordance with CC0 1.0 Universal.
# See <http://creativecommons.org/publicdomain/zero/1.0/> for the conditions. You 
# can copy, modify, distribute and perform the work, even for commercial purposes, 
# all without asking permission.


## Script references
#
# Wikipedia: "Devanagari", http://en.wikipedia.org/wiki/Devanagari
#
# In "Omniglot" - the online encyclopedia of writing systems and languages, 
#    http://omniglot.com/writing/devanagari.htm
#
# Daniels, Peter T. & Bright, William: "The world's writing systems", page 384


## References for contextual rules
#
# RFC 5891: “Internationalized Domain Names in Applications (IDNA): Protocol” 
#    (proposed standard), http://tools.ietf.org/html/rfc5891
#
# Unicode Technical Standard 46 (UTS-46), http://unicode.org/reports/tr46/


## Code points requiring contextual rules
#
# Code point                  Description of rule/Reference
#
# U+002D                      Label must neither start nor end with U+002D. Label 
#    HYPHEN-MINUS             must not have U+002D in both third and fourth
#                             position. RFC 5891 (sec 4.2.3.1)
#
# 0900..0903, U+093C,         Combining characters cannot start a label. UTS46 
# 094D..094E, 0953..0954      (sec 4.1)
#   DEVANAGARI SIGNS
#
# 093E..094C                  Dependent vowels, must be placed after their associated
#   DEVANAGARI DEPENDENT      consonant and thus cannot start a label. UTS46 (sec 4.1)
#   VOWEL SIGNS                     
#
# U+0955, U+0962, U+0963      Combining code point cannot start a label. UTS46 (sec 4.1)
#   DEVANAGARI VOWEL SIGNS
#
# A8E0..A8F1                  Combining code point cannot start a label. UTS46 (sec 4.1)


## Code point table
#
# Code   # Unicode        Specimen  Name
# point  # script         Glyph 
#
U+002D   # Common         -         HYPHEN-MINUS
U+0030   # Common         0         DIGIT ZERO
U+0031   # Common         1         DIGIT ONE
U+0032   # Common         2         DIGIT TWO
U+0033   # Common         3         DIGIT THREE
U+0034   # Common         4         DIGIT FOUR
U+0035   # Common         5         DIGIT FIVE
U+0036   # Common         6         DIGIT SIX
U+0037   # Common         7         DIGIT SEVEN
U+0038   # Common         8         DIGIT EIGHT
U+0039   # Common         9         DIGIT NINE
#
U+0900   # Devanagari     ऀ         DEVANAGARI SIGN INVERTED CANDRABINDU
U+0901   # Devanagari     ँ         DEVANAGARI SIGN CANDRABINDU
U+0902   # Devanagari     ं         DEVANAGARI SIGN ANUSVARA
U+0903   # Devanagari     ः         DEVANAGARI SIGN VISARGA
U+0904   # Devanagari     ऄ         DEVANAGARI LETTER SHORT A
U+0905   # Devanagari     अ         DEVANAGARI LETTER A
U+0906   # Devanagari     आ         DEVANAGARI LETTER AA
U+0907   # Devanagari     इ         DEVANAGARI LETTER I
U+0908   # Devanagari     ई         DEVANAGARI LETTER II
U+0909   # Devanagari     उ         DEVANAGARI LETTER U
U+090A   # Devanagari     ऊ         DEVANAGARI LETTER UU
U+090B   # Devanagari     ऋ         DEVANAGARI LETTER VOCALIC R
U+090C   # Devanagari     ऌ         DEVANAGARI LETTER VOCALIC L
U+090D   # Devanagari     ऍ         DEVANAGARI LETTER CANDRA E
U+090E   # Devanagari     ऎ         DEVANAGARI LETTER SHORT E
U+090F   # Devanagari     ए         DEVANAGARI LETTER E
U+0910   # Devanagari     ऐ         DEVANAGARI LETTER AI
U+0911   # Devanagari     ऑ         DEVANAGARI LETTER CANDRA O
U+0912   # Devanagari     ऒ         DEVANAGARI LETTER SHORT O
U+0913   # Devanagari     ओ         DEVANAGARI LETTER O
U+0914   # Devanagari     औ         DEVANAGARI LETTER AU
