# IDN Reference table for Kannada script

# Script: Kannada
# Version: 1.0
# Date: 2014-11-26
# Unicode version: 6.3.0

# This IDN table is published on <https://github.com/dotse/IDN-ref-tables> where 
# you can find the latest version, other tables and information concerning the 
# purpose, creation and update of the tables.
#
# This IDN table has been created by .SE <https://www.iis.se/english/> mainly based 
# on the material in the listed references. 
#
# .SE has put this work into Public Domain in accordance with CC0 1.0 Universal.
# See <http://creativecommons.org/publicdomain/zero/1.0/> for the conditions. You 
# can copy, modify, distribute and perform the work, even for commercial purposes, 
# all without asking permission.


## Script references
#
# Wikipedia: "Kannada", http://en.wikipedia.org/wiki/Kannada_alphabet
#
# In "Omniglot" - the online encyclopedia of writing systems and languages, 
#    http://omniglot.com/writing/kannada.htm
#
# Daniels, Peter T. & Bright, William: "The world's writing systems", page 413


## References for contextual rules
#
# RFC 5891: “Internationalized Domain Names in Applications (IDNA): Protocol” 
#    (proposed standard), http://tools.ietf.org/html/rfc5891
#
# Unicode Technical Standard 46 (UTS-46), http://unicode.org/reports/tr46/


## Code points requiring contextual rules
#
# Code point                  Description of rule/Reference
#
# U+002D                      Label must neither start nor end with U+002D. Label 
#    HYPHEN-MINUS             must not have U+002D in both third and fourth
#                             position. RFC 5891 (sec 4.2.3.1)
#
# U+0C83, U+0CBC, U+0CCD,     Combining characters cannot start a label. UTS-46 
# 0CD5..0CD6                  (sec 4.1)
#   KANNADA SIGNS
# 
# 
# 0CBE..0CC4, 0CC6..0CC8,     Combining vowel characters cannot start a label. UTS-46 
# 0CCA..0CCC, 0CE2..0CE3      (sec 4.1)
#   KANNADA VOWEL SIGNS
#
#
## Code point table
#
# Code   # Unicode        Specimen  Name
# point  # script         Glyph 
#
U+002D   # Common         -         HYPHEN-MINUS
U+0030   # Common         0         DIGIT ZERO
U+0031   # Common         1         DIGIT ONE
U+0032   # Common         2         DIGIT TWO
U+0033   # Common         3         DIGIT THREE
U+0034   # Common         4         DIGIT FOUR
U+0035   # Common         5         DIGIT FIVE
U+0036   # Common         6         DIGIT SIX
U+0037   # Common         7         DIGIT SEVEN
U+0038   # Common         8         DIGIT EIGHT
U+0039   # Common         9         DIGIT NINE
#
U+0C83   # Kannada        ಃ         KANNADA SIGN VISARGA
U+0C85   # Kannada        ಅ         KANNADA LETTER A
U+0C86   # Kannada        ಆ         KANNADA LETTER AA
U+0C87   # Kannada        ಇ         KANNADA LETTER I
U+0C88   # Kannada        ಈ         KANNADA LETTER II
U+0C89   # Kannada        ಉ         KANNADA LETTER U
U+0C8A   # Kannada        ಊ         KANNADA LETTER UU
U+0C8B   # Kannada        ಋ         KANNADA LETTER VOCALIC R
U+0C8C   # Kannada        ಌ         KANNADA LETTER VOCALIC L
U+0C8E   # Kannada        ಎ         KANNADA LETTER E
U+0C8F   # Kannada        ಏ         KANNADA LETTER EE
U+0C90   # Kannada        ಐ         KANNADA LETTER AI
U+0C92   # Kannada        ಒ         KANNADA LETTER O
U+0C93   # Kannada        ಓ         KANNADA LETTER OO
U+0C94   # Kannada        ಔ         KANNADA LETTER AU
U+0C95   # Kannada        ಕ         KANNADA LETTER KA
U+0C96   # Kannada        ಖ         KANNADA LETTER KHA
U+0C97   # Kannada        ಗ         KANNADA LETTER GA
U+0C98   # Kannada        ಘ         KANNADA LETTER GHA
U+0C99   # Kannada        ಙ         KANNADA LETTER NGA
U+0C9A   # Kannada        ಚ         KANNADA LETTER CA
U+0C9B   # Kannada        ಛ         KANNADA LETTER CHA
U+0C9C   # Kannada        ಜ         KANNADA LETTER JA
U+0C9D   # Kannada        ಝ         KANNADA LETTER JHA
U+0C9E   # Kannada        ಞ         KANNADA LETTER NYA
